participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
yvnfhsc,-1,5000,training,bar,14,eggplant,tomato,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
yvnfhsc,1,3985,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
yvnfhsc,-1,5000,training,bar,13,olive,carrot,olive,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
yvnfhsc,1,4327,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
yvnfhsc,1,2132,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
yvnfhsc,1,3661,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
yvnfhsc,-1,5000,real,bar,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
yvnfhsc,1,2196,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
yvnfhsc,1,3339,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
yvnfhsc,1,3015,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
yvnfhsc,1,1923,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
yvnfhsc,1,2031,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
yvnfhsc,1,3552,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
yvnfhsc,1,2720,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
yvnfhsc,1,3096,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
yvnfhsc,1,3279,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
yvnfhsc,1,2395,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
yvnfhsc,1,4700,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
yvnfhsc,1,1889,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
yvnfhsc,1,2170,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
yvnfhsc,1,4541,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
yvnfhsc,1,3936,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
yvnfhsc,1,1816,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
yvnfhsc,1,1638,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
yvnfhsc,1,3258,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
yvnfhsc,1,2236,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
