participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ialmjuh,0,840,training,pie,5,olive,carrot,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ialmjuh,1,2780,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ialmjuh,1,1265,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ialmjuh,0,1635,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
ialmjuh,1,4878,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
ialmjuh,1,3059,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
ialmjuh,1,2550,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
ialmjuh,1,3511,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
ialmjuh,1,1799,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
ialmjuh,1,4065,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
ialmjuh,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
ialmjuh,0,2009,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
ialmjuh,1,4782,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
ialmjuh,0,4625,training,pie,12,corn,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ialmjuh,0,3811,training,pie,21,eggplant,mushroom,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ialmjuh,1,4770,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
ialmjuh,1,3711,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
ialmjuh,1,3555,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
ialmjuh,-1,5000,real,pie,6,olive,mushroom,olive,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
