participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
txjhcfs,-1,5000,training,bar,9,mushroom,eggplant,mushroom,none,"more, fewer",0,MORE,"color, geo, icon",0,color,0
txjhcfs,1,4026,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
txjhcfs,1,2344,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
txjhcfs,1,3970,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
txjhcfs,1,3052,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
txjhcfs,1,3650,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
txjhcfs,1,4635,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,3
txjhcfs,1,3906,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
txjhcfs,1,4222,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
txjhcfs,1,3895,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
txjhcfs,-1,5000,real,bar,4,mushroom,carrot,carrot,none,"more, fewer",0,MORE,"color, geo, icon",0,color,7
txjhcfs,1,4273,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
txjhcfs,1,2967,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
txjhcfs,0,2833,training,bar,13,olive,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
txjhcfs,1,3181,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
txjhcfs,-1,5000,training,bar,21,mushroom,eggplant,mushroom,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
txjhcfs,1,2620,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
txjhcfs,1,1854,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
txjhcfs,1,2656,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
txjhcfs,1,3109,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
txjhcfs,1,2717,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
txjhcfs,1,2956,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
txjhcfs,1,3209,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
txjhcfs,-1,5000,real,bar,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
txjhcfs,1,2570,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
txjhcfs,0,2987,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
txjhcfs,-1,5000,training,bar,28,mushroom,celery,mushroom,none,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
txjhcfs,1,4887,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
txjhcfs,1,2783,training,bar,17,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
txjhcfs,1,2635,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
txjhcfs,1,3507,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
txjhcfs,1,3081,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
txjhcfs,1,4292,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
txjhcfs,1,4216,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
txjhcfs,1,3076,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
txjhcfs,1,1999,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
txjhcfs,1,1419,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
txjhcfs,1,2277,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
txjhcfs,1,2626,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
txjhcfs,0,2783,training,bar,17,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
txjhcfs,0,2442,training,bar,0,corn,carrot,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
txjhcfs,1,1208,training,bar,18,corn,eggplant,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
txjhcfs,1,1247,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
txjhcfs,1,1944,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
txjhcfs,1,3014,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
txjhcfs,1,2109,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
txjhcfs,1,3116,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
txjhcfs,1,2335,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
txjhcfs,1,3454,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
txjhcfs,1,1945,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
txjhcfs,1,3109,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
txjhcfs,1,2152,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
txjhcfs,-1,5000,training,bar,19,carrot,eggplant,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
txjhcfs,1,2446,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
txjhcfs,-1,5000,training,bar,7,eggplant,celery,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
txjhcfs,1,2370,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
txjhcfs,1,1964,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
txjhcfs,1,3171,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
txjhcfs,1,3304,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,3
txjhcfs,1,2102,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,4
txjhcfs,0,2455,real,bar,5,olive,celery,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,5
