participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
bxjlymv,1,1711,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
bxjlymv,0,2570,training,pie,23,olive,carrot,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
bxjlymv,1,3413,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
bxjlymv,1,3016,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
bxjlymv,1,4133,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
bxjlymv,1,4014,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
bxjlymv,1,2443,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
bxjlymv,1,3494,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
bxjlymv,1,2344,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
bxjlymv,1,1636,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
bxjlymv,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
bxjlymv,1,1583,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
bxjlymv,1,2010,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
bxjlymv,0,1802,training,pie,18,eggplant,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
bxjlymv,0,3115,training,pie,18,eggplant,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
bxjlymv,1,2264,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
bxjlymv,1,3484,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
bxjlymv,1,2724,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
bxjlymv,1,3703,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
bxjlymv,0,4181,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
bxjlymv,1,2267,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
bxjlymv,1,3159,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
bxjlymv,1,2753,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
bxjlymv,1,4497,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
bxjlymv,1,4418,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
bxjlymv,1,2698,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
bxjlymv,0,2863,training,pie,26,olive,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
bxjlymv,1,3085,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
bxjlymv,-1,5000,training,pie,1,mushroom,corn,corn,none,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
bxjlymv,1,3066,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
bxjlymv,1,1884,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
bxjlymv,1,3374,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
bxjlymv,1,2801,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
bxjlymv,-1,5000,real,pie,8,corn,celery,celery,none,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
bxjlymv,1,3459,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
bxjlymv,0,2269,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
bxjlymv,1,3734,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
bxjlymv,1,4477,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
bxjlymv,1,1990,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
bxjlymv,1,2430,training,pie,4,carrot,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, icon, color",0,geo,0
bxjlymv,1,3226,training,pie,26,olive,mushroom,olive,ArrowLeft,"fewer, more",1,MORE,"geo, icon, color",0,geo,1
