participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
xkyejci,1,4791,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
xkyejci,-1,5000,training,bar,22,corn,mushroom,corn,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
xkyejci,1,3593,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
xkyejci,1,3535,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
xkyejci,1,2933,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
xkyejci,1,4089,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
xkyejci,1,2567,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
xkyejci,1,3361,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
xkyejci,-1,5000,real,bar,6,mushroom,olive,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
xkyejci,1,2839,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
xkyejci,1,1454,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
xkyejci,1,3190,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
xkyejci,1,3138,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
xkyejci,1,3099,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
xkyejci,1,1752,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
xkyejci,0,4664,training,bar,7,eggplant,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
xkyejci,1,3343,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
xkyejci,0,2025,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
xkyejci,1,3681,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
xkyejci,1,3609,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
xkyejci,-1,5000,real,bar,5,olive,celery,celery,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
xkyejci,1,2893,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
xkyejci,1,1376,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
xkyejci,1,4972,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
xkyejci,1,3715,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
xkyejci,1,2124,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
xkyejci,1,2993,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
xkyejci,1,2328,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
xkyejci,1,3619,training,bar,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
xkyejci,1,3939,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
xkyejci,1,2761,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
xkyejci,1,4271,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
xkyejci,1,3710,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,3
xkyejci,1,2273,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,4
xkyejci,1,3253,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,5
